OrderID,OrderDate,SalesPersonID,AreaID,ProductID,Quantity,UnitPrice,SalesAmount
O001,1/1/2018,S001,A001,P001,3,100.00,300.00
O002,1/3/2018,S002,A002,P002,8,200.00,1600.00
O003,1/3/2018,S003,A003,P003,,250.00,1500.00
O004,1/4/2018,S004,A004,P004,3,310.45,931.35
O005,1/4/2018,S005,A005,P005,5,53.00,265.00
O006,1/5/2018,S006,A006,P006,8,120.00,960.00
O007,1/5/2018,S007,A007,P007,7,234.51,1641.57
O008,1/6/2018,S008,A008,P008,5,234.20,
O009,1/6/2018,S009,A009,P009,8,634.00,5072.00
O010,1/7/2018,S010,A010,P010,6,521.00,3126.00
O011,1/7/2018,S011,A001,P011,4,533.00,2132.00
O012,1/7/2018,S012,A002,P012,11,51.00,561.00
O013,1/7/2018,S013,A003,P001,8,100.00,800.00
O014,1/7/2018,S014,A004,P002,2,200.00,400.00
O015,1/8/2018,S015,A005,P003,9,250.00,2250.00
O016,1/9/2018,S001,A006,P004,,310.45,1862.70
O017,1/9/2018,S002,A007,P005,3,53.00,159.00
O018,1/9/2018,S003,A008,P006,12,120.00,1440.00
O019,1/9/2018,S004,A009,P007,,234.51,
O020,1/9/2018,S005,A010,P008,7,234.20,1639.40
O021,1/9/2018,S006,A001,P009,5,634.00,3170.00
O022,1/10/2018,S007,A002,P010,6,521.00,3126.00
O023,1/10/2018,S008,A003,P011,11,533.00,5863.00
O024,1/10/2018,S009,A004,P012,1,51.00,51.00
O025,1/10/2018,S010,A005,P001,11,100.00,1100.00
O026,1/11/2018,S011,A006,P002,1,200.00,200.00
O027,1/11/2018,S012,A007,P003,5,250.00,1250.00
O028,1/12/2018,S013,A008,P004,4,310.45,1241.80
O029,1/13/2018,S014,A009,P005,10,53.00,530.00
O030,1/13/2018,S015,A010,P006,1,120.00,120.00
O031,1/13/2018,S001,A001,P007,5,234.51,1172.55
O032,1/14/2018,S002,A002,P008,12,234.20,2810.40
O033,1/14/2018,S003,A003,P009,9,634.00,5706.00
O034,1/14/2018,S004,A004,P010,3,521.00,1563.00
O035,1/14/2018,S005,A005,P011,4,533.00,2132.00
O036,1/14/2018,S006,A006,P012,6,51.00,306.00
O037,1/14/2018,S007,A007,P001,,100.00,
O038,1/15/2018,S008,A008,P002,2,200.00,400.00
O039,1/15/2018,S009,A009,P003,4,250.00,1000.00
O040,1/15/2018,S010,A010,P004,8,310.45,2483.60
O041,1/15/2018,S011,A001,P005,5,53.00,265.00
O042,1/16/2018,S012,A002,P006,2,120.00,240.00
O043,1/17/2018,S013,A003,P007,,234.51,2345.10
O044,1/17/2018,S014,A004,P008,5,234.20,1171.00
O045,1/17/2018,S015,A005,P009,5,634.00,3170.00
O046,1/18/2018,S001,A006,P010,7,521.00,3647.00
O047,1/19/2018,S002,A007,P011,2,533.00,1066.00
O048,1/19/2018,S003,A008,P012,8,51.00,408.00
O049,1/19/2018,S004,A009,P001,5,100.00,500.00
O050,1/20/2018,S005,A010,P002,7,200.00,1400.00
O051,1/21/2018,S006,A001,P003,8,250.00,2000.00
O052,1/23/2018,S007,A002,P004,10,310.45,3104.50
O053,1/23/2018,S008,A003,P005,9,53.00,477.00
O054,1/23/2018,S009,A004,P006,4,120.00,480.00
O055,1/24/2018,S010,A005,P007,4,234.51,938.04
O056,1/24/2018,S011,A006,P008,5,234.20,1171.00
O057,1/24/2018,S012,A007,P009,2,634.00,1268.00
O058,1/24/2018,S013,A008,P010,2,521.00,1042.00
O059,1/25/2018,S014,A009,P011,4,533.00,2132.00
O060,1/25/2018,S015,A010,P012,3,51.00,
O061,1/26/2018,S001,A001,P001,8,100.00,800.00
O062,1/26/2018,S002,A002,P002,2,200.00,400.00
O063,1/26/2018,S003,A003,P003,2,250.00,500.00
O064,1/26/2018,S004,A004,P004,3,310.45,931.35
O065,1/26/2018,S005,A005,P005,6,53.00,318.00
O066,1/27/2018,S006,A006,P006,,120.00,600.00
O067,1/28/2018,S007,A007,P007,10,234.51,2345.10
O068,1/28/2018,S008,A008,P008,4,234.20,936.80
O069,1/28/2018,S009,A009,P009,12,634.00,7608.00
O070,1/28/2018,S010,A010,P010,12,521.00,6252.00
O071,1/28/2018,S011,A001,P011,9,533.00,4797.00
O072,1/29/2018,S012,A002,P012,9,51.00,459.00
O073,1/29/2018,S013,A003,P001,5,100.00,500.00
O074,1/29/2018,S014,A004,P002,4,200.00,800.00
O075,1/30/2018,S015,A005,P003,9,250.00,2250.00
O076,1/30/2018,S001,A006,P004,6,310.45,1862.70
O077,1/30/2018,S002,A007,P005,12,53.00,
O078,1/30/2018,S003,A008,P006,8,120.00,960.00
O079,1/30/2018,S004,A009,P007,9,234.51,2110.59
O080,1/31/2018,S005,A010,P008,3,234.20,702.60
O081,2/1/2018,S006,A001,P009,6,634.00,3804.00
O082,2/1/2018,S007,A002,P010,8,521.00,4168.00
O083,2/1/2018,S008,A003,P011,7,533.00,3731.00
O084,2/1/2018,S009,A004,P012,8,51.00,408.00
O085,2/1/2018,S010,A005,P001,6,100.00,600.00
O086,2/2/2018,S011,A006,P002,5,200.00,1000.00
O087,2/2/2018,S012,A007,P003,2,250.00,500.00
O088,2/2/2018,S013,A008,P004,10,310.45,3104.50
O089,2/3/2018,S014,A009,P005,2,53.00,106.00
O090,2/3/2018,S015,A010,P006,12,120.00,1440.00
O091,2/4/2018,S001,A001,P007,11,234.51,2579.61
O092,2/4/2018,S002,A002,P008,6,234.20,1405.20
O093,2/5/2018,S003,A003,P009,3,634.00,1902.00
O094,2/5/2018,S004,A004,P010,9,521.00,4689.00
O095,2/5/2018,S005,A005,P011,4,533.00,2132.00
O096,2/6/2018,S006,A006,P012,8,51.00,408.00
O097,2/6/2018,S007,A007,P001,7,100.00,700.00
O098,2/7/2018,S008,A008,P002,5,200.00,1000.00
O099,2/7/2018,S009,A009,P003,3,250.00,750.00
O100,2/7/2018,S010,A010,P004,12,310.45,3725.40
O101,2/8/2018,S011,A001,P005,10,53.00,530.00
O102,2/8/2018,S012,A002,P006,5,120.00,600.00
O103,2/8/2018,S013,A003,P007,10,234.51,2345.10
O104,2/9/2018,S014,A004,P008,4,234.20,936.80
O105,2/9/2018,S015,A005,P009,6,634.00,3804.00
O106,2/9/2018,S001,A006,P010,11,521.00,5731.00
O107,2/9/2018,S002,A007,P011,5,533.00,2665.00
O108,2/10/2018,S003,A008,P012,11,51.00,561.00
O109,2/10/2018,S004,A009,P001,10,100.00,1000.00
O110,2/10/2018,S005,A010,P002,10,200.00,2000.00
O111,2/10/2018,S006,A001,P003,9,250.00,2250.00
O112,2/10/2018,S007,A002,P004,9,310.45,2794.05
O113,2/10/2018,S008,A003,P005,3,53.00,159.00
O114,2/11/2018,S009,A004,P006,10,120.00,1200.00
O115,2/12/2018,S010,A005,P007,7,234.51,1641.57
O116,2/13/2018,S011,A006,P008,8,234.20,1873.60
O117,2/13/2018,S012,A007,P009,2,634.00,1268.00
O118,2/13/2018,S013,A008,P010,8,521.00,4168.00
O119,2/14/2018,S014,A009,P011,8,533.00,4264.00
O120,2/14/2018,S015,A010,P012,12,51.00,612.00
O121,2/14/2018,S001,A001,P001,2,100.00,200.00
O122,2/16/2018,S002,A002,P002,6,200.00,1200.00
O123,2/16/2018,S003,A003,P003,6,250.00,1500.00
O124,2/16/2018,S004,A004,P004,8,310.45,2483.60
O125,2/17/2018,S005,A005,P005,3,53.00,159.00
O126,2/17/2018,S006,A006,P006,6,120.00,720.00
O127,2/18/2018,S007,A007,P007,7,234.51,1641.57
O128,2/19/2018,S008,A008,P008,8,234.20,1873.60
O129,2/19/2018,S009,A009,P009,9,634.00,5706.00
O130,2/20/2018,S010,A010,P010,7,521.00,3647.00
O131,2/20/2018,S011,A001,P011,2,533.00,1066.00
O132,2/20/2018,S012,A002,P012,11,51.00,561.00
O133,2/21/2018,S013,A003,P001,10,100.00,1000.00
O134,2/21/2018,S014,A004,P002,11,200.00,2200.00
O135,2/21/2018,S015,A005,P003,1,250.00,250.00
O136,2/22/2018,S001,A006,P004,9,310.45,2794.05
O137,2/22/2018,S002,A007,P005,8,53.00,424.00
O138,2/22/2018,S003,A008,P006,5,120.00,600.00
O139,2/23/2018,S004,A009,P007,10,234.51,2345.10
O140,2/23/2018,S005,A010,P008,6,234.20,1405.20
O141,2/23/2018,S006,A001,P009,1,634.00,634.00
O142,2/23/2018,S007,A002,P010,4,521.00,2084.00
O143,2/23/2018,S008,A003,P011,9,533.00,4797.00
O144,2/24/2018,S009,A004,P012,9,51.00,459.00
O145,2/24/2018,S010,A005,P001,2,100.00,200.00
O146,2/24/2018,S011,A006,P002,9,200.00,1800.00
O147,2/25/2018,S012,A007,P003,7,250.00,1750.00
O148,2/25/2018,S013,A008,P004,10,310.45,3104.50
O149,2/25/2018,S014,A009,P005,11,53.00,583.00
O150,2/26/2018,S015,A010,P006,12,120.00,1440.00
O151,2/26/2018,S001,A001,P007,11,234.51,2579.61
O152,2/27/2018,S002,A002,P008,10,234.20,2342.00
O153,2/28/2018,S003,A003,P009,12,634.00,7608.00
O154,2/28/2018,S004,A004,P010,8,521.00,4168.00
O155,2/28/2018,S005,A005,P011,6,533.00,3198.00
O156,2/28/2018,S006,A006,P012,7,51.00,357.00
O157,3/1/2018,S007,A007,P001,12,100.00,1200.00
O158,3/2/2018,S008,A008,P002,3,200.00,600.00
O159,3/2/2018,S009,A009,P003,12,250.00,3000.00
O160,3/2/2018,S010,A010,P004,2,310.45,620.90
O161,3/4/2018,S011,A001,P005,4,53.00,212.00
O162,3/4/2018,S012,A002,P006,12,120.00,1440.00
O163,3/4/2018,S013,A003,P007,12,234.51,2814.12
O164,3/4/2018,S014,A004,P008,9,234.20,2107.80
O165,3/4/2018,S015,A005,P009,10,634.00,6340.00
O166,3/4/2018,S001,A006,P010,8,521.00,4168.00
O167,3/4/2018,S002,A007,P011,3,533.00,1599.00
O168,3/4/2018,S003,A008,P012,11,51.00,561.00
O169,3/5/2018,S004,A009,P001,9,100.00,900.00
O170,3/6/2018,S005,A010,P002,4,200.00,800.00
O171,3/6/2018,S006,A001,P003,9,250.00,2250.00
O172,3/6/2018,S007,A002,P004,6,310.45,1862.70
O173,3/6/2018,S008,A003,P005,11,53.00,583.00
O174,3/6/2018,S009,A004,P006,5,120.00,600.00
O175,3/7/2018,S010,A005,P007,1,234.51,234.51
O176,3/7/2018,S011,A006,P008,12,234.20,2810.40
O177,3/7/2018,S012,A007,P009,9,634.00,5706.00
O178,3/7/2018,S013,A008,P010,8,521.00,4168.00
O179,3/8/2018,S014,A009,P011,2,533.00,1066.00
O180,3/8/2018,S015,A010,P012,1,51.00,51.00
O181,3/9/2018,S001,A001,P001,4,100.00,400.00
O182,3/9/2018,S002,A002,P002,3,200.00,600.00
O183,3/10/2018,S003,A003,P003,7,250.00,1750.00
O184,3/11/2018,S004,A004,P004,9,310.45,2794.05
O185,3/11/2018,S005,A005,P005,4,53.00,212.00
O186,3/12/2018,S006,A006,P006,11,120.00,1320.00
O187,3/12/2018,S007,A007,P007,1,234.51,234.51
O188,3/13/2018,S008,A008,P008,12,234.20,2810.40
O189,3/13/2018,S009,A009,P009,6,634.00,3804.00
O190,3/13/2018,S010,A010,P010,1,521.00,521.00
O191,3/13/2018,S011,A001,P011,9,533.00,4797.00
O192,3/14/2018,S012,A002,P012,3,51.00,153.00
O193,3/14/2018,S013,A003,P001,10,100.00,1000.00
O194,3/16/2018,S014,A004,P002,3,200.00,600.00
O195,3/16/2018,S015,A005,P003,7,250.00,1750.00
O196,3/18/2018,S001,A006,P004,7,310.45,2173.15
O197,3/20/2018,S002,A007,P005,9,53.00,477.00
O198,3/21/2018,S003,A008,P006,6,120.00,720.00
O199,3/22/2018,S004,A009,P007,2,234.51,469.02
O200,3/22/2018,S005,A010,P008,2,234.20,468.40
O201,3/22/2018,S006,A001,P009,9,634.00,5706.00
O202,3/22/2018,S007,A002,P010,7,521.00,3647.00
O203,3/23/2018,S008,A003,P011,1,533.00,533.00
O204,3/23/2018,S009,A004,P012,7,51.00,357.00
O205,3/23/2018,S010,A005,P001,1,100.00,100.00
O206,3/23/2018,S011,A006,P002,1,200.00,200.00
O207,3/23/2018,S012,A007,P003,5,250.00,1250.00
O208,3/24/2018,S013,A008,P004,9,310.45,2794.05
O209,3/24/2018,S014,A009,P005,5,53.00,265.00
O210,3/24/2018,S015,A010,P006,7,120.00,840.00
O211,3/24/2018,S001,A001,P007,6,234.51,1407.06
O212,3/24/2018,S002,A002,P008,6,234.20,1405.20
O213,3/24/2018,S003,A003,P009,5,634.00,3170.00
O214,3/25/2018,S004,A004,P010,1,521.00,521.00
O215,3/25/2018,S005,A005,P011,11,533.00,5863.00
O216,3/25/2018,S006,A006,P012,3,51.00,153.00
O217,3/26/2018,S007,A007,P001,4,100.00,400.00
O218,3/26/2018,S008,A008,P002,9,200.00,1800.00
O219,3/28/2018,S009,A009,P003,6,250.00,1500.00
O220,3/28/2018,S010,A010,P004,11,310.45,3414.95
O221,3/29/2018,S011,A001,P005,5,53.00,265.00
O222,3/29/2018,S012,A002,P006,9,120.00,1080.00
O223,3/29/2018,S013,A003,P007,3,234.51,703.53
O224,3/29/2018,S014,A004,P008,7,234.20,1639.40
O225,3/30/2018,S015,A005,P009,8,634.00,5072.00
O226,3/30/2018,S001,A006,P010,5,521.00,2605.00
O227,3/30/2018,S002,A007,P011,10,533.00,5330.00
O228,3/30/2018,S003,A008,P012,12,51.00,612.00
O229,3/31/2018,S004,A009,P001,2,100.00,200.00
O230,3/31/2018,S005,A010,P002,8,200.00,1600.00
O231,4/2/2018,S006,A001,P003,5,250.00,1250.00
O232,4/2/2018,S007,A002,P004,9,310.45,2794.05
O233,4/2/2018,S008,A003,P005,11,53.00,583.00
O234,4/2/2018,S009,A004,P006,5,120.00,600.00
O235,4/3/2018,S010,A005,P007,5,234.51,1172.55
O236,4/3/2018,S011,A006,P008,9,234.20,2107.80
O237,4/3/2018,S012,A007,P009,12,634.00,7608.00
O238,4/3/2018,S013,A008,P010,4,521.00,2084.00
O239,4/3/2018,S014,A009,P011,6,533.00,3198.00
O240,4/4/2018,S015,A010,P012,7,51.00,357.00
O241,4/5/2018,S001,A001,P001,3,100.00,300.00
O242,4/5/2018,S002,A002,P002,2,200.00,400.00
O243,4/5/2018,S003,A003,P003,10,250.00,2500.00
O244,4/6/2018,S004,A004,P004,10,310.45,3104.50
O245,4/6/2018,S005,A005,P005,11,53.00,583.00
O246,4/7/2018,S006,A006,P006,6,120.00,720.00
O247,4/7/2018,S007,A007,P007,7,234.51,1641.57
O248,4/8/2018,S008,A008,P008,3,234.20,702.60
O249,4/9/2018,S009,A009,P009,1,634.00,634.00
O250,4/9/2018,S010,A010,P010,1,521.00,521.00
O251,4/9/2018,S011,A001,P011,9,533.00,4797.00
O252,4/11/2018,S012,A002,P012,4,51.00,204.00
O253,4/11/2018,S013,A003,P001,12,100.00,1200.00
O254,4/11/2018,S014,A004,P002,10,200.00,2000.00
O255,4/12/2018,S015,A005,P003,3,250.00,750.00
O256,4/12/2018,S001,A006,P004,3,310.45,931.35
O257,4/13/2018,S002,A007,P005,6,53.00,318.00
O258,4/13/2018,S003,A008,P006,9,120.00,1080.00
O259,4/14/2018,S004,A009,P007,3,234.51,703.53
O260,4/14/2018,S005,A010,P008,10,234.20,2342.00
O261,4/14/2018,S006,A001,P009,6,634.00,3804.00
O262,4/14/2018,S007,A002,P010,11,521.00,5731.00
O263,4/14/2018,S008,A003,P011,12,533.00,6396.00
O264,4/15/2018,S009,A004,P012,5,51.00,255.00
O265,4/16/2018,S010,A005,P001,2,100.00,200.00
O266,4/16/2018,S011,A006,P002,8,200.00,1600.00
O267,4/17/2018,S012,A007,P003,6,250.00,1500.00
O268,4/17/2018,S013,A008,P004,7,310.45,2173.15
O269,4/17/2018,S014,A009,P005,3,53.00,159.00
O270,4/18/2018,S015,A010,P006,6,120.00,720.00
O271,4/18/2018,S001,A001,P007,6,234.51,1407.06
O272,4/19/2018,S002,A002,P008,8,234.20,1873.60
O273,4/19/2018,S003,A003,P009,2,634.00,1268.00
O274,4/19/2018,S004,A004,P010,3,521.00,1563.00
O275,4/20/2018,S005,A005,P011,10,533.00,5330.00
O276,4/20/2018,S006,A006,P012,4,51.00,204.00
O277,4/20/2018,S007,A007,P001,11,100.00,1100.00
O278,4/20/2018,S008,A008,P002,1,200.00,200.00
O279,4/21/2018,S009,A009,P003,9,250.00,2250.00
O280,4/21/2018,S010,A010,P004,2,310.45,620.90
O281,4/21/2018,S011,A001,P005,5,53.00,265.00
O282,4/22/2018,S012,A002,P006,4,120.00,480.00
O283,4/22/2018,S013,A003,P007,1,234.51,234.51
O284,4/22/2018,S014,A004,P008,6,234.20,1405.20
O285,4/22/2018,S015,A005,P009,9,634.00,5706.00
O286,4/23/2018,S001,A006,P010,12,521.00,6252.00
O287,4/23/2018,S002,A007,P011,1,533.00,533.00
O288,4/23/2018,S003,A008,P012,1,51.00,51.00
O289,4/23/2018,S004,A009,P001,9,100.00,900.00
O290,4/24/2018,S005,A010,P002,2,200.00,400.00
O291,4/24/2018,S006,A001,P003,2,250.00,500.00
O292,4/25/2018,S007,A002,P004,10,310.45,3104.50
